Company,Industry,Date,Adj Close,Close,High,Low,Open,Volume
GMDCLTD,Industrial Minerals,01-07-2002,6.724,12.715,12.800,12.140,12.140,666670
GMDCLTD,Industrial Minerals,02-07-2002,6.685,12.640,12.800,12.500,12.690,547560
GMDCLTD,Industrial Minerals,03-07-2002,6.656,12.585,12.685,12.240,12.500,529470
GMDCLTD,Industrial Minerals,04-07-2002,6.735,12.735,12.800,12.540,12.540,523140
GMDCLTD,Industrial Minerals,05-07-2002,6.782,12.825,12.980,12.730,12.730,581140
GMDCLTD,Industrial Minerals,08-07-2002,6.656,12.585,12.970,12.505,12.970,667440
GMDCLTD,Industrial Minerals,09-07-2002,6.544,12.375,12.650,12.320,12.560,348850
GMDCLTD,Industrial Minerals,10-07-2002,6.373,12.050,12.600,11.970,12.400,447340
GMDCLTD,Industrial Minerals,11-07-2002,6.367,12.040,12.130,11.900,11.900,247270
GMDCLTD,Industrial Minerals,12-07-2002,6.478,12.250,12.535,12.025,12.200,263690
GMDCLTD,Industrial Minerals,15-07-2002,6.248,11.815,12.490,11.715,12.470,371980
GMDCLTD,Industrial Minerals,16-07-2002,6.209,11.740,11.925,11.610,11.700,425760
GMDCLTD,Industrial Minerals,17-07-2002,6.259,11.835,11.900,11.620,11.720,479340
GMDCLTD,Industrial Minerals,18-07-2002,6.526,12.340,12.400,12.000,12.010,806260
GMDCLTD,Industrial Minerals,19-07-2002,6.449,12.195,12.300,12.000,12.050,293050
GMDCLTD,Industrial Minerals,22-07-2002,6.143,11.615,11.800,11.510,11.510,358470
GMDCLTD,Industrial Minerals,23-07-2002,6.021,11.385,11.510,10.800,10.800,199900
GMDCLTD,Industrial Minerals,24-07-2002,5.735,10.845,11.485,10.750,11.350,136560
GMDCLTD,Industrial Minerals,25-07-2002,5.820,11.005,11.500,10.900,11.195,185370
GMDCLTD,Industrial Minerals,26-07-2002,5.484,10.370,11.000,10.150,11.000,193510
GMDCLTD,Industrial Minerals,29-07-2002,5.310,10.040,10.500,9.410,10.420,600290
GMDCLTD,Industrial Minerals,30-07-2002,5.095,9.635,10.610,9.510,10.500,181710
GMDCLTD,Industrial Minerals,31-07-2002,5.130,9.700,9.950,9.000,9.500,223150
GMDCLTD,Industrial Minerals,01-08-2002,5.185,9.805,10.390,9.705,10.060,193960
GMDCLTD,Industrial Minerals,02-08-2002,5.429,10.265,10.380,10.010,10.100,507840
GMDCLTD,Industrial Minerals,05-08-2002,5.569,10.530,10.700,10.250,10.400,451890
GMDCLTD,Industrial Minerals,06-08-2002,5.526,10.450,10.570,10.405,10.500,105780
GMDCLTD,Industrial Minerals,07-08-2002,5.481,10.365,10.690,10.260,10.690,169870
GMDCLTD,Industrial Minerals,08-08-2002,5.320,10.060,10.495,9.920,10.495,296470
GMDCLTD,Industrial Minerals,09-08-2002,5.262,9.950,10.200,9.920,9.920,134930
GMDCLTD,Industrial Minerals,12-08-2002,5.328,10.075,10.300,10.030,10.100,41400
GMDCLTD,Industrial Minerals,13-08-2002,5.341,10.100,10.300,10.025,10.250,32060
GMDCLTD,Industrial Minerals,14-08-2002,5.278,9.980,10.075,9.900,10.010,53690
GMDCLTD,Industrial Minerals,15-08-2002,5.278,9.980,9.980,9.980,9.980,0
GMDCLTD,Industrial Minerals,16-08-2002,5.275,9.975,10.200,9.925,10.195,33400
GMDCLTD,Industrial Minerals,19-08-2002,5.238,9.905,10.100,9.855,10.100,27810
GMDCLTD,Industrial Minerals,20-08-2002,5.220,9.870,10.000,9.810,9.950,27290
GMDCLTD,Industrial Minerals,21-08-2002,5.154,9.745,10.000,9.710,9.850,39180
GMDCLTD,Industrial Minerals,22-08-2002,5.180,9.795,10.000,9.730,9.990,27180
GMDCLTD,Industrial Minerals,23-08-2002,5.085,9.615,9.820,9.600,9.810,26250
